store_id,item_number,day,quantity
store_a,1001,2024-01-01,16.4
store_a,1001,2024-01-02,23.7
store_a,1001,2024-01-03,20.7
store_b,1014,2024-10-05,18.4
store_a,1001,2024-01-04,20.1
store_a,1001,2024-01-05,24.0
store_a,1001,2024-01-06,31.4
store_a,1001,2024-01-08,38.4
store_a,1001,2024-01-09,25.3
store_a,1001,2024-01-10,21.4
store_a,1001,2024-01-11,23.7
store_a,1001,2024-01-12,20.7
store_a,1001,2024-01-13,30.2
store_a,1001,2024-01-15,37.5
store_a,1001,2024-01-16,24.3
store_a,1001,2024-01-17,21.1
store_a,1001,2024-01-18,22.6
store_a,1001,2024-01-19,23.6
store_a,1001,2024-01-20,29.5
store_a,1001,2024-01-22,36.3
 store_a,1001,23/01/2024,24.0
store_a,1001,2024-01-24,22.2
store_a,1001,2024-01-25,22.4
store_a,1001,2024-01-26,22.3
store_a,1001,2024-01-27,29.1
store_a,1001,2024-01-29,36.4
store_a,1001,2024-01-30,25.0
store_a,1001,2024-01-31,21.7
store_a,1001,2024-02-01,21.1
store_a,1001,2024-02-02,22.7
store_a,1001,2024-02-03,26.6
store_a,1001,2024-02-05,37.7
store_a,1001,2024-02-06,22.5
store_a,1001,2024-02-07,20.3
store_a,1001,2024-02-08,21.6
store_a,1001,2024-02-09,22.3
store_a,1001,2024-02-10,29.0
store_a,1001,2024-02-12,34.7
store_a,1001,2024-02-13,22.9
store_a,1001,2024-02-14,23.4
store_a,1001,2024-02-15,7.4
store_a,1001,2024-02-16,22.0
store_a,1001,2024-02-17,29.9
store_a,1001,2024-02-19,35.8
store_a,1001,2024-02-20,23.6
store_a,1001,2024-02-21,19.7
store_a,1001,2024-02-22,21.1
store_a,1001,2024-02-23,23.1
store_a,1001,2024-02-24,29.4
store_a,1001,2024-02-26,35.7
store_a,1001,2024-02-27,25.0
store_a,1001,2024-02-28,21.5
store_a,1001,2024-02-29,23.7
store_a,1001,2024-03-01,22.5
store_a,1001,2024-03-02,27.4
store_a,1001,2024-03-04,36.4
store_a,1001,2024-03-05,23.3
store_a,1001,2024-03-06,24.2
store_a,1001,2024-03-07,23.3
store_a,1001,2024-03-08,21.7
store_a,1001,2024-03-09,29.7
STORE_A,1001,2024-03-11,34.2
store_a,1001,2024-03-12,24.5
store_a,1001,2024-03-13,20.3
store_a,1001,2024-03-14,24.2
store_a,1001,2024-03-15,19.1
store_a,1001,2024-03-16,29.6
store_a,1001,2024-03-18,33.7
store_a,1001,2024-03-19,21.8
store_a,1001,2024-03-20,23.2
store_a,1001,2024-03-21,21.6
store_a,1001,2024-03-22,24.6
store_a,1001,2024-03-23,27.6
store_a,1001,2024-03-25,35.6
store_a,1001,2024-03-26,21.9
store_a,1001,2024-03-27,22.4
store_a,1001,2024-03-28,23.4
store_a,1001,2024-03-29,23.0
store_a,1001,2024-03-30,29.8
store_a,1001,2024-04-01,38.3
store_a,1001,2024-04-02,23.6
store_a,1001,2024-04-03,23.9
store_a,1001,2024-04-04,22.6
store_a,1001,2024-04-05,8.0
store_a,1001,2024-04-06,30.0
store_a,1001,2024-04-08,36.3
store_a,1001,2024-04-09,21.3
store_a,1001,2024-04-10,6.1
store_a ,1001,2024-04-11,19.0
store_a,1001,2024-04-12,24.2
store_a,1001,2024-04-13,26.9
store_a,1001,2024-04-15,35.0
store_a,1001,2024-04-16,21.8
store_a,1001,2024-04-17,5.7
store_a,1001,2024-04-18,24.0
store_a,1001,2024-04-19,21.2
store_a,1001,2024-04-20,29.4
store_a,1001,2024-04-22,37.5
store_a,1001,2024-04-23,20.7
store_a,1001,2024-04-24,21.5
store_a,1001,2024-04-25,23.5
store_a,1001,2024-04-26,22.3
store_a,1001,2024-04-27,27.0
store_a,1001,2024-04-29,33.3
store_a,1001,2024-04-30,22.7
store_a,1001,01/05/2024,22.7
store_b,1009,2024-02-08,11.5
